ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,Date,price,volume,trades
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-02,1628.4081761006294,4234,290
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-03,1597.0137931034483,2963,262
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-04,1602.6547619047615,1859,196
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-05,1588.6831168831177,1942,280
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-06,1577.572670807454,2304,269
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-09,1582.3485875706212,3337,340
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-10,1574.7284552845524,1612,175
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-11,1571.7643564356429,1086,142
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-12,1575.4856060606057,2764,199
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-13,1581.791156462585,3547,268
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-16,1584.591558441558,3098,244
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-17,1590.7449541284407,1628,166
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-18,1611.199253731343,1724,201
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-19,1603.286,1223,141
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-20,1614.5816513761467,1965,175
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-23,1613.8142857142857,1998,241
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-24,1614.0,0,1
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-27,1685.6041401273876,11345,713
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-30,1669.0581818181822,2440,229
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2019-12-31,1672.4,0,1
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-02,1668.8270588235307,3689,353
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-03,1677.2950226244348,6280,521
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-06,1668.2568627450983,6314,477
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-07,1704.2462857142855,5932,386
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-08,1705.8524999999995,4002,336
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-09,1717.061827956989,6651,404
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-10,1714.3492424242431,3292,325
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-13,1699.1228187919457,2193,246
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-14,1691.492413793103,3491,297
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-15,1677.4311594202902,3737,290
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-16,1678.2315151515145,3086,265
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-17,1690.2786764705884,3348,238
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-20,1678.1865671641795,2155,229
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-21,1676.1982758620704,1770,172
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-22,1712.1770700636941,2340,239
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-23,1701.185833333333,1548,159
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-24,1711.7739837398367,1775,171
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-27,1659.9421739130441,6678,518
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2020-01-28,1668.998039215686,2412,224
